train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.17641333,4.6870303,0.29389036,0.21359931,4.213391,0.33904436,0
0.20382673,4.238559,0.27357167,0.21402048,3.995248,0.2190006,1
0.2034363,4.1032705,0.3265273,0.21369922,3.8861284,0.27413902,2
0.20333686,3.995177,0.3388318,0.21735203,3.6903582,0.1985498,3
0.20871079,3.9057274,0.29433522,0.21782714,3.6326,0.27530515,4
0.20487183,3.8436942,0.25567776,0.22020887,3.5864992,0.1346259,5
0.20969766,3.7933464,0.23791893,0.22088543,3.5292668,0.1816241,6
0.20787013,3.7511365,0.22809373,0.22311343,3.4822676,0.16627999,7
0.2025175,3.7466393,0.20332673,0.22104916,3.5060406,0.3367102,8
0.20986299,3.6993625,0.18822844,0.2200282,3.6183107,0.13781735,9
0.21367836,3.653379,0.18491828,0.22603934,3.396841,0.112918906,10
0.21702255,3.6400528,0.18242075,0.22432312,3.4498525,0.1470019,11
0.21270646,3.6352477,0.16423994,0.22173074,3.5042589,0.1209643,12
0.21644354,3.5875196,0.15761714,0.22101772,3.5103097,0.08873027,13
0.20865296,3.6194975,0.1615136,0.2264153,3.3473904,0.09287427,14
0.2101061,3.5891013,0.1451278,0.2258092,3.3693092,0.07474544,15
0.21023776,3.580727,0.13616973,0.22885084,3.3076916,0.07187794,16
0.21491873,3.5529869,0.13643442,0.22489782,3.341133,0.06555285,17
0.21565059,3.5406032,0.13509177,0.2288636,3.294686,0.0867212,18
0.21391667,3.5256658,0.12553458,0.22951709,3.2676954,0.065560564,19
0.21638499,3.4940188,0.11841997,0.22450532,3.3691947,0.09328416,20
0.21947879,3.4778829,0.12074748,0.22900622,3.28816,0.08735799,21
0.21382399,3.492808,0.12061935,0.22869623,3.2683632,0.11808699,22
0.2146683,3.4815507,0.117938906,0.22641164,3.316019,0.08938119,23
0.21569085,3.4739475,0.11426586,0.229039,3.2420952,0.07564241,24
0.21601015,3.462556,0.11959552,0.22836956,3.2465866,0.089809984,25
0.2195723,3.4582431,0.11498553,0.23047745,3.2240806,0.057953835,26
0.216267,3.4380205,0.11356025,0.23108196,3.2091177,0.070713714,27
0.22024329,3.410679,0.10468911,0.23011057,3.2292142,0.079650715,28
0.21698456,3.4336402,0.11061379,0.2293023,3.226122,0.07306579,29
0.2190469,3.4024596,0.10860507,0.22986059,3.2037292,0.07958809,30
0.21259171,3.4419668,0.10906032,0.2303905,3.2400596,0.0980973,31
0.22488672,3.3609865,0.09828289,0.23129523,3.1845968,0.05631424,32
0.22081697,3.3840134,0.099769965,0.23102899,3.1917617,0.07077732,33
0.21737017,3.397762,0.10220832,0.22945559,3.264192,0.05963309,34
0.21694624,3.3928514,0.1000831,0.23091161,3.2410536,0.07060321,35
0.2195745,3.3663652,0.0980893,0.23178294,3.2034237,0.058779925,36
0.217786,3.3651195,0.09420638,0.23153047,3.196498,0.048758045,37
0.21237974,3.3926675,0.09461273,0.231717,3.1552043,0.0548933,38
0.2207411,3.352135,0.09462526,0.23127358,3.1865964,0.056094076,39
0.22340424,3.3515391,0.09335632,0.23181887,3.2174082,0.075986095,40
0.22041528,3.3495169,0.09705773,0.23126346,3.2103183,0.062128406,41
0.2186602,3.3355408,0.091286264,0.23209155,3.1940644,0.05645761,42
0.22085077,3.324019,0.086695164,0.2305976,3.1930249,0.059309572,43
0.2257509,3.3040648,0.08971871,0.23148595,3.1697032,0.06802274,44
0.2235476,3.323191,0.090580024,0.23246938,3.1648479,0.047947805,45
0.2181447,3.332278,0.08933335,0.2315705,3.1612687,0.06224843,46
0.22249754,3.3052177,0.09117263,0.23271513,3.1553457,0.059768546,47
0.21800406,3.316894,0.08651179,0.23484915,3.0974314,0.05471776,48
0.22237006,3.297537,0.08541336,0.23191544,3.208849,0.057070043,49
0.22107679,3.2983751,0.08774896,0.23400548,3.1309514,0.057295706,50
0.21808667,3.3054736,0.08537965,0.23346336,3.1194909,0.05615492,51
0.21937127,3.2977006,0.07964564,0.23262817,3.1345794,0.058920473,52
0.22180365,3.2865226,0.08339313,0.23408131,3.1197076,0.04902457,53
0.22678085,3.260884,0.08329346,0.23381846,3.1303315,0.05353515,54
0.22270508,3.2876477,0.082717605,0.23325641,3.132812,0.050829213,55
0.22250466,3.2781298,0.0814508,0.23398595,3.1219652,0.06381774,56
0.22182289,3.287534,0.08150864,0.2331628,3.155035,0.055227272,57
0.22356103,3.2569058,0.076589614,0.23491937,3.096873,0.04102953,58
0.22296587,3.2570047,0.07455713,0.23402472,3.1059895,0.057147074,59
0.22664568,3.2464833,0.077512056,0.23414509,3.104361,0.050896768,60
0.21673384,3.2928047,0.076834746,0.23468165,3.1019356,0.043273464,61
0.22203377,3.2557395,0.07978816,0.23514594,3.1108282,0.044430938,62
0.22339676,3.2471983,0.07352772,0.23353416,3.1470299,0.07411971,63
0.21766677,3.27603,0.07606712,0.23434635,3.1053436,0.051788103,64
0.22128135,3.2562501,0.074865654,0.23291199,3.1788118,0.07192761,65
0.2201782,3.2548068,0.07584925,0.23312767,3.14056,0.04734249,66
0.22275104,3.2401502,0.07393789,0.2341102,3.1151683,0.05228367,67
0.22223924,3.2333577,0.07242678,0.23456569,3.083581,0.05342093,68
0.224802,3.2305949,0.07375922,0.23503388,3.0834727,0.05360725,69
0.22593102,3.2245812,0.07447771,0.23560305,3.062288,0.052711852,70
0.22779939,3.2094877,0.07582873,0.23392388,3.0976074,0.059904564,71
0.22076026,3.2299304,0.07501986,0.23452543,3.0846615,0.04986451,72
0.22433724,3.2099342,0.07002846,0.23622787,3.0652237,0.045843937,73
0.22360131,3.23161,0.074006245,0.23405273,3.088234,0.049823526,74
0.22358552,3.2302072,0.07545691,0.23540229,3.0709271,0.049769677,75
0.22755045,3.206648,0.07396077,0.23556827,3.0563009,0.057259027,76
0.22580014,3.201676,0.073340826,0.23596525,3.0589783,0.034785938,77
