train_accuracy,train_loss,train_map_mse_range11,val_accuracy,val_loss,val_map_mse_range11,curr_epoch
0.016999153,5.4165,0.7344215,0.021668313,5.2809014,0.65448177,0
0.023835877,5.3177466,0.6716133,0.0268039,5.107996,0.36066556,1
0.0286341,5.2143435,0.465851,0.026940161,5.1196976,0.38348633,2
0.029534109,5.174906,0.41862863,0.027410403,5.081524,0.42867595,3
0.030337553,5.1505275,0.3941649,0.029067652,5.070467,0.3876197,4
0.02983384,5.137411,0.39794,0.028979475,5.101571,0.30747125,5
0.031248536,5.1176004,0.39315063,0.022571744,5.3506513,0.36874652,6
0.030614555,5.1186843,0.39807197,0.029082954,5.017097,0.33950338,7
0.031632617,5.0877976,0.37355274,0.029048482,4.9898076,0.3481414,8
0.03165247,5.0842195,0.3768872,0.029733865,5.009983,0.3295381,9
0.03166687,5.074373,0.36787224,0.029462926,4.968667,0.3766057,10
0.03159438,5.071688,0.36907884,0.027903667,5.0146494,0.37976503,11
0.031692173,5.0749826,0.36924812,0.029510839,4.981279,0.30489883,12
0.03213285,5.062219,0.36471197,0.029948132,4.951211,0.35504776,13
0.031682163,5.056812,0.35466313,0.029464189,4.9681387,0.3876642,14
0.032218743,5.045486,0.350262,0.028791452,4.977879,0.3277044,15
0.031843334,5.0369143,0.35224777,0.029841188,4.9767113,0.36404687,16
0.032550998,5.038598,0.34974512,0.027476592,5.065806,0.32374215,17
0.032506276,5.0306334,0.33955345,0.02869259,5.02621,0.33593568,18
0.032137327,5.0348983,0.3435442,0.031393442,4.900082,0.28754637,19
0.031634256,5.031339,0.32833725,0.03168092,4.933354,0.3068833,20
0.032616824,5.0135665,0.32873207,0.030608984,4.9030294,0.3149285,21
0.032392647,5.0006557,0.31273252,0.031003574,4.8538423,0.24040997,22
0.032484565,4.995238,0.31347314,0.02912238,4.9574986,0.38204694,23
0.033500012,4.9969134,0.31769282,0.03234607,4.846297,0.29648852,24
0.0331895,4.9783597,0.30870974,0.031594306,4.9182777,0.29914713,25
0.033622026,4.9800777,0.30592623,0.031225398,4.853366,0.25318104,26
0.033437293,4.983677,0.31090158,0.0320491,4.83412,0.2890261,27
0.03245138,4.977234,0.30418828,0.031288832,4.873641,0.3107518,28
0.03324461,4.964867,0.3031761,0.032099277,4.8606753,0.27701828,29
0.03389789,4.9666452,0.29719394,0.032763146,4.827455,0.25660068,30
0.033869,4.953735,0.29367667,0.02839678,4.930046,0.39184123,31
0.03412041,4.9647474,0.30364206,0.03304714,4.817256,0.28207645,32
0.034087986,4.956313,0.30245423,0.033020172,4.804154,0.280854,33
0.033710644,4.9503717,0.29650334,0.03323858,4.7917147,0.23632027,34
0.034201805,4.9536204,0.30136788,0.032738954,4.8399806,0.2604614,35
0.034078944,4.949936,0.3019565,0.03225819,4.846452,0.2946369,36
0.03414993,4.9445233,0.29131663,0.032681335,4.8186617,0.23785508,37
0.035036925,4.940958,0.29643202,0.033015255,4.815864,0.2799702,38
0.034036346,4.9345593,0.2866832,0.032153454,4.8448753,0.29037073,39
0.03375008,4.945077,0.28690767,0.032669473,4.7985396,0.26759055,40
0.035049118,4.9355345,0.29089057,0.03116304,4.894742,0.315504,41
0.033710882,4.933009,0.28817144,0.032217205,4.8020177,0.27346364,42
0.034505688,4.9316907,0.28507784,0.031486046,4.8661575,0.23992059,43
0.034116793,4.938096,0.2894801,0.033114117,4.787193,0.2731089,44
0.034393713,4.9350767,0.2937441,0.033846475,4.7672234,0.25757647,45
0.033962186,4.9345584,0.28719145,0.028727682,4.9634595,0.33646372,46
0.033601537,4.9324355,0.29122198,0.031569473,4.810678,0.29033569,47
0.034472354,4.9198785,0.28360942,0.03025698,4.9576993,0.33907753,48
0.034489702,4.9253583,0.28628993,0.0336245,4.7587094,0.22695544,49
0.035043713,4.9125586,0.27973428,0.0314857,4.8104887,0.25862795,50
0.035268165,4.9114394,0.27531675,0.03205688,4.82607,0.30112436,51
0.035034005,4.904236,0.27455315,0.03290442,4.803289,0.24827471,52
0.034675904,4.9163213,0.27760535,0.03247002,4.8187294,0.26236203,53
0.03481911,4.921532,0.28734687,0.033622954,4.789624,0.25626713,54
0.0348742,4.9134297,0.27782375,0.031942632,4.8005896,0.25669,55
0.034687582,4.901119,0.26887718,0.03354025,4.8190928,0.24846767,56
0.034979448,4.911082,0.27721113,0.03161653,4.841231,0.22683655,57
0.03480493,4.8996186,0.27364627,0.025862236,5.183513,0.45310825,58
0.034852415,4.9067097,0.27519077,0.031764463,4.812298,0.2382459,59
0.035177764,4.9070964,0.2755605,0.031071726,4.813863,0.23722112,60
0.03489966,4.899986,0.27344644,0.03004169,4.873825,0.23293926,61
0.034613676,4.9172983,0.28165367,0.0330415,4.7907553,0.22613685,62
0.034529965,4.914118,0.28224698,0.033540893,4.752558,0.25370964,63
0.034102585,4.9011793,0.27379146,0.032596577,4.763055,0.2831231,64
0.034940194,4.9035325,0.2725446,0.031579882,4.8605475,0.2959343,65
0.03528201,4.9028625,0.2710457,0.032080106,4.8328896,0.27246332,66
0.03481759,4.890703,0.26783496,0.033662487,4.792729,0.27626273,67
0.035240747,4.8872623,0.26497698,0.03366412,4.7822466,0.2540015,68
0.035486884,4.8828025,0.26759365,0.033201903,4.7762847,0.26463324,69
0.035105575,4.886316,0.26615524,0.033565573,4.784469,0.2095461,70
0.035702147,4.8883877,0.26655635,0.033879384,4.799592,0.25913316,71
0.035394777,4.8931026,0.27028313,0.034666218,4.774942,0.21717553,72
0.03472779,4.891976,0.2683018,0.03293894,4.8732867,0.28973833,73
0.035286866,4.8909473,0.27384317,0.03388682,4.762688,0.21104608,74
0.0356099,4.877499,0.26226726,0.033665914,4.7630486,0.24458265,75
0.034573272,4.8893337,0.26617318,0.033749253,4.7815704,0.26434427,76
0.03602283,4.8756776,0.26424563,0.034365997,4.75266,0.22284912,77
0.035119116,4.8842444,0.2669871,0.03523351,4.7216134,0.2006507,78
0.03628052,4.877398,0.26719192,0.03237778,4.799148,0.20327763,79
0.035205144,4.886749,0.26314837,0.033905417,4.7687993,0.2168566,80
0.03550608,4.8898544,0.26895532,0.033832494,4.758252,0.25715613,81
0.036127478,4.8792396,0.26878005,0.027018635,5.0147023,0.27446938,82
0.034831874,4.881759,0.26574412,0.03478591,4.7433023,0.20821825,83
0.035760526,4.8655887,0.2595365,0.033552945,4.75665,0.24964033,84
0.03686464,4.869284,0.26167375,0.02723837,4.918531,0.35290813,85
0.035823423,4.868949,0.256945,0.0331239,4.798371,0.24313965,86
0.03560066,4.873601,0.2558959,0.03218362,4.9002247,0.2787695,87
0.03536418,4.8733087,0.2578478,0.035036616,4.770112,0.19691181,88
0.036477406,4.8623376,0.25543752,0.034598835,4.7504005,0.23875567,89
0.035508223,4.8608313,0.25418115,0.03380869,4.746308,0.22231211,90
0.03603483,4.8636193,0.2552037,0.03464256,4.781379,0.2581063,91
0.036055237,4.8614435,0.2515763,0.033996325,4.748983,0.17914218,92
0.036061,4.8567142,0.24907179,0.035773825,4.7086353,0.208205,93
0.03624005,4.859976,0.251524,0.035693727,4.7247243,0.20867291,94
0.035779476,4.8627496,0.250974,0.03523686,4.7248287,0.25412378,95
0.035503082,4.861427,0.2558163,0.03146486,4.8405547,0.22470915,96
0.03601283,4.8573675,0.24931069,0.035340082,4.716574,0.22666685,97
0.036351286,4.8504133,0.24653842,0.03451102,4.759227,0.21503869,98
0.03669733,4.8427715,0.24287681,0.035404366,4.725945,0.1864592,99
0.036091354,4.8507476,0.24527737,0.034644563,4.734149,0.21284652,100
0.036221784,4.85291,0.24744248,0.035280522,4.734478,0.19946957,101
0.036181197,4.8553615,0.24649811,0.035591215,4.71336,0.24896619,102
0.036152035,4.849682,0.24505518,0.03538107,4.7263746,0.2148043,103
0.03615348,4.8476415,0.24774562,0.033797514,4.7559867,0.21879743,104
0.036754474,4.85294,0.2535063,0.035451297,4.7115293,0.21933986,105
0.036429998,4.844233,0.2479341,0.03517422,4.7182364,0.23404463,106
0.037123576,4.840645,0.24466555,0.035518356,4.7071624,0.17720252,107
0.036517374,4.845535,0.24395645,0.035436574,4.723992,0.21949051,108
0.03627276,4.837594,0.24265945,0.035614446,4.7249904,0.20844136,109
0.036548458,4.833867,0.24007963,0.033870902,4.811422,0.2390188,110
0.036114093,4.847514,0.2448398,0.035231132,4.764652,0.22556068,111
0.036281012,4.8393035,0.2398331,0.034147475,4.76056,0.2366637,112
0.03705502,4.8248267,0.22945707,0.035915922,4.7096825,0.207549,113
0.036581416,4.8302484,0.23180164,0.035124153,4.719839,0.19427171,114
0.036951378,4.819955,0.23069337,0.036278334,4.708743,0.21555163,115
0.036694437,4.845201,0.23633483,0.034796666,4.7360125,0.26050374,116
0.036082044,4.819286,0.22885518,0.035344526,4.722704,0.23890574,117
0.036948577,4.8171415,0.23062028,0.035522502,4.7159495,0.22123043,118
0.036508035,4.824432,0.23043151,0.035924815,4.719915,0.21684311,119
0.035855286,4.8321304,0.23158433,0.03522895,4.72489,0.21804205,120
0.035898995,4.838805,0.23479311,0.035283085,4.7560406,0.23136164,121
0.037099987,4.8229933,0.231321,0.036233455,4.7167864,0.22315244,122
0.036923915,4.8175554,0.22613004,0.03494453,4.7378435,0.26776126,123
0.037724566,4.814848,0.22896148,0.03537622,4.748043,0.20830315,124
0.03723251,4.81613,0.22687319,0.0348018,4.771068,0.23140979,125
0.0369321,4.8221593,0.22529104,0.03633197,4.6916084,0.19763638,126
0.036995694,4.80919,0.22179875,0.03415849,4.7613134,0.20931262,127
0.036480464,4.822128,0.22691336,0.03584029,4.726729,0.22841497,128
0.03722631,4.8138885,0.22388662,0.036445364,4.67989,0.2135561,129
0.037310846,4.8134437,0.23025277,0.03660015,4.6901164,0.21745431,130
0.03680545,4.809996,0.2202313,0.036793087,4.689685,0.19733849,131
0.03735098,4.8003273,0.2180578,0.03576686,4.7106023,0.20483738,132
0.03616662,4.8111906,0.22281754,0.035043433,4.7881083,0.24636345,133
0.03660242,4.805637,0.21960208,0.034769055,4.7791286,0.25605693,134
