train_loss,val_loss,curr_epoch
0.1849443,0.15673779,0
0.13094446,0.12686214,1
0.12046961,0.13617088,2
0.11498681,0.14013128,3
0.11311221,0.15661009,4
0.10867953,0.13243078,5
0.10499217,0.12294103,6
0.10354813,0.10642288,7
0.09959295,0.21222341,8
0.09951498,0.117562935,9
0.095764965,0.112210624,10
0.09364429,0.12382275,11
0.091687575,0.09756549,12
0.09097714,0.09397518,13
0.08945682,0.1887931,14
0.09724837,0.105462335,15
0.0864473,0.112516366,16
0.08621304,0.10229707,17
0.08460419,0.11104602,18
0.083110034,0.11248297,19
0.08135102,0.10298457,20
0.08005826,0.116975605,21
0.07985005,0.069931634,22
0.07730615,0.08430707,23
0.07630459,0.07987498,24
0.07884702,0.07849554,25
0.07593231,0.08667022,26
0.07534634,0.07070775,27
0.07403275,0.07318815,28
0.07455412,0.07891271,29
0.07445589,0.07617002,30
0.072727844,0.111684814,31
0.07743496,0.13053122,32
0.07428652,0.06902796,33
0.07244849,0.07976204,34
0.072520725,0.07528291,35
0.07013204,0.07199795,36
0.07079374,0.085177824,37
0.07017485,0.09309221,38
0.070220396,0.077054344,39
0.06993353,0.083365105,40
0.07043357,0.07058352,41
0.06998265,0.08815387,42
0.07110788,0.110842966,43
0.07103145,0.10245261,44
0.07047083,0.08421019,45
0.0683033,0.068977304,46
0.06832828,0.07616991,47
0.06752274,0.06459478,48
0.06696389,0.11306858,49
0.06882942,0.06265352,50
0.06684978,0.08199188,51
0.06751726,0.063474655,52
0.065932296,0.06862454,53
0.0661545,0.060706716,54
0.06561579,0.07247817,55
0.0665604,0.069988966,56
0.06583328,0.08216704,57
0.0656599,0.07201054,58
0.06691588,0.09993137,59
0.06591607,0.057169776,60
0.06445741,0.074905455,61
0.06582868,0.065282375,62
0.06565559,0.068535954,63
0.06515039,0.063172735,64
0.06489175,0.06815541,65
0.06505157,0.08483823,66
0.065615885,0.0639203,67
0.0638733,0.06254255,68
0.064400494,0.06539566,69
0.06515954,0.08677312,70
0.06586056,0.07546729,71
0.065894544,0.069355436,72
0.06413368,0.062485024,73
0.06353984,0.0695998,74
0.063877806,0.057263732,75
0.0629972,0.16061413,76
0.06534276,0.08001414,77
0.0633439,0.06296009,78
0.0653899,0.06440836,79
0.06261393,0.05641048,80
0.062320452,0.08639327,81
0.064827584,0.066111214,82
0.06258964,0.06786053,83
0.06322688,0.073324464,84
0.061971337,0.06809033,85
0.06149525,0.08426821,86
0.06357416,0.06898774,87
0.061628014,0.058284927,88
0.061459403,0.060931545,89
0.061880518,0.075040914,90
0.06280422,0.06809857,91
0.061593074,0.06122027,92
0.060961384,0.07949824,93
0.061092332,0.058981866,94
0.06049068,0.07876751,95
0.061786983,0.08198533,96
0.061423376,0.055769812,97
0.060708504,0.05660106,98
0.060225874,0.0673699,99
0.06117521,0.06940474,100
0.06090167,0.060215402,101
0.060162388,0.06526048,102
0.058923453,0.054960966,103
0.05978067,0.060624626,104
0.060405355,0.06544496,105
0.05974598,0.05466638,106
0.059146293,0.061067306,107
0.059280597,0.06713249,108
0.059210602,0.06682775,109
0.060129672,0.091903545,110
0.062411748,0.06429465,111
0.059501026,0.06321408,112
0.06186762,0.066034615,113
0.061954122,0.07338834,114
0.06105754,0.06675661,115
0.06045588,0.059459317,116
0.058721624,0.079252504,117
0.060158446,0.072578765,118
0.06088679,0.059275873,119
0.05890009,0.066564836,120
0.05933251,0.061511207,121
0.05878209,0.05697502,122
0.059294563,0.054646593,123
0.057658445,0.06335012,124
0.057549477,0.06846387,125
0.05816808,0.05724774,126
0.058214977,0.06516115,127
0.059501603,0.06121395,128
0.05766558,0.058249943,129
0.057377726,0.055758704,130
0.0576787,0.063752346,131
0.057874247,0.057339493,132
0.058322366,0.06751394,133
0.058661014,0.057921182,134
0.05732141,0.06848458,135
0.05861307,0.05424803,136
0.05725623,0.055981554,137
0.057287466,0.098416425,138
0.060275234,0.057138894,139
0.058321025,0.056146603,140
0.058252867,0.10887324,141
0.061083186,0.07626918,142
0.059719287,0.07340936,143
0.059360396,0.07204774,144
0.05908105,0.076493636,145
0.05866271,0.07339612,146
0.05714655,0.06955863,147
0.057477448,0.056785673,148
0.057254665,0.06143391,149
0.057755653,0.05777445,150
0.056850184,0.059766017,151
0.057512373,0.05831285,152
0.057023954,0.057458784,153
0.056715798,0.063636884,154
0.056803126,0.057069927,155
0.056625873,0.05472387,156
0.055989265,0.054489374,157
0.056325268,0.057329096,158
0.055402987,0.06603,159
0.055791505,0.05372186,160
0.05559964,0.05708769,161
0.055915337,0.059516504,162
0.056461837,0.06401053,163
0.055713717,0.054976236,164
0.0561279,0.056300547,165
0.05543995,0.053285938,166
0.05544467,0.06664004,167
0.055612206,0.05779767,168
0.055030692,0.05026886,169
0.054778997,0.0672351,170
0.057020444,0.06634307,171
0.056810588,0.05685342,172
0.055879824,0.06300406,173
0.056418832,0.06494895,174
0.055053223,0.05024317,175
0.055137772,0.054134827,176
0.054395843,0.0582009,177
0.05640799,0.064749375,178
0.056129467,0.05665472,179
0.055032365,0.06199745,180
0.05555901,0.05434222,181
0.055515975,0.0557414,182
0.055725385,0.0771852,183
0.056265656,0.052418053,184
0.055389717,0.054343216,185
0.054631673,0.051860135,186
0.054909248,0.054937802,187
0.055049382,0.050394624,188
0.05439218,0.052909914,189
0.05544244,0.07078487,190
0.056591034,0.052741814,191
0.0537452,0.07004011,192
